,#,Título,Estreno,Distribuidora,Recaudación ($MXN),Recaudación ($USD)[2],Asistentes (Millones)
0,1,SUPER MARIO BROS.: LA PELÍCULA,05/04/2023,Universal Pictures,"1,539,986,624","89,052,192",21.928
1,2,SPIDER-MAN: SIN CAMINO A CASA,17/12/2021,Sony Pictures,"1,535,488,107","81,165,192",21.928
2,3,AVENGERS: ENDGAME,26/04/2019,Walt Disney Studios Motion Pictures,"1,474,211,950","77,594,943",24.861
3,4,TOY STORY 4,21/06/2019,Walt Disney Studios Motion Pictures,"1,375,619,677","71,882,369",25.200
4,5,AVENGERS: INFINITY WAR,27/04/2018,Walt Disney Studios Motion Pictures,"1,141,128,769","60,058,771",21.530
5,6,COCO,27/10/2017,Walt Disney Studios Motion Pictures,"1,132,277,291","57,860,947",24.145
6,7,AVATAR: EL CAMINO DEL AGUA,15/12/2022,20th Century Studios/Disney,"1,002,000,000","49,921,763",13.100
7,8,EL REY LEÓN,19/07/2019,Walt Disney Studios Motion Pictures,"996,060,725","51,832,021",18.045
8,9,GUASÓN,04/10/2019,Warner Bros. Entertainment Inc.,"858,082,328","43,900,000",15.079
9,10,JURASSIC WORLD: DOMINIO,01/06/2022,Universal Pictures,"853,000,000","43,010,094",12.600
10,11,DOCTOR STRANGE: EN EL MULTIVERSO DE LA LOCURA,06/05/2022,Walt Disney Studios Motion Pictures,"827,300,000","41,148,031",11.900
11,12,LOS VENGADORES,27/04/2012,Walt Disney Studios Motion Pictures,"827,207,828","61,748,523",15.944
12,13,MINIONS: NACE UN VILLANO,30/06/2022,Universal Pictures,"818,000,000","40,092,905",13.100
13,14,VENGADORES: ERA DE ULTRON,30/04/2015,Walt Disney Studios Motion Pictures,"784,083,100","50,940,433",15.735
14,15,RAPIDOS Y FURIOSOS 7,02/04/2015,Universal Pictures,"779,293,817","51,682,039",15.534
15,16,TOY STORY 3,18/06/2010,Walt Disney Studios Motion Pictures,"777,482,842","59,382,044",14.826
16,17,LOS INCREIBLES 2,15/06/2018,Walt Disney Studios Motion Pictures,"749,605,717","37,575,760",15.249
17,18,CAPITAN AMERICA: CIVIL WAR,29/04/2016,Walt Disney Studios Motion Pictures,"728,249,354","41,420,350",14.534
18,19,MINIONS,09/07/2015,Universal Pictures,"724,799,241","43,910,109",16.145
19,20,PANTERA NEGRA: WAKANDA POR SIEMPRE,10/11/2022,Walt Disney Studios Motion Pictures,"698,600,000","35,931,797",10.300
20,21,JURASSIC WORLD: EL REINO CAIDO,21/06/2018,Universal Pictures,"692,702,046","35,176,901",13.769
21,22,MUNDO JURASICO,11/06/2015,Universal Pictures,"685,843,392","42,105,404",13.848
22,23,RAPIDOS Y FURIOSOS 8,11/06/2017,Universal Pictures,"676,815,295","36,309,142",14.210
23,24,CAPITANA MARVEL,08/03/2019,Walt Disney Studios Motion Pictures,"642,094,748","33,314,134",11.514
24,25,BATMAN,03/03/2022,Warner Bros. Entertainment Inc.,"635,000,000","31,332,638",8.900
25,26,BATMAN VS SUPERMAN: EL ORIGEN DE LA JUSTICIA,24/03/2016,Warner Bros. Entertainment Inc.,"630,814,940","36,621,767",13.261
26,27,ALADDIN,24/05/2019,Walt Disney Studios Motion Pictures,"628,498,033","32,507,722",11.695
27,28,MI VILLANO FAVORITO 3,29/06/2017,Universal Pictures,"625,965,616","34,804,796",14.048
28,29,LA ERA DE HIELO 4,28/06/2012,"20th Century Studios, Inc.","618,218,437","46,845,581",13.175
29,30,MI VILLANO FAVORITO 2,05/07/2013,Universal Pictures,"612,219,624","47,702,364",13.402
30,31,SPIDER-MAN: LEJOS DE CASA,04/07/2019,"Sony Pictures Entertainment, Inc","611,198,974","32,298,318",10.810
